Time,Altitude,Position East of launch,Position North of launch,Latitude,Longitude
0,0,0,0,28.562,-80.577
0.01,4.793e-5,6.433e-6,9.187e-6,28.562,-80.577
0.02,0.001,5.018e-5,7.166e-5,28.562,-80.577
0.03,0.006,1.673e-4,2.389e-4,28.562,-80.577
0.04,0.017,3.939e-4,5.626e-4,28.562,-80.577
0.05,0.035,7.663e-4,0.001,28.562,-80.577
0.06,0.064,0.001,0.002,28.562,-80.577
0.069,0.101,0.002,0.003,28.562,-80.577
0.079,0.155,0.003,0.004,28.562,-80.577
0.089,0.224,0.004,0.006,28.562,-80.577
0.099,0.308,0.006,0.008,28.562,-80.577
0.109,0.406,0.007,0.01,28.562,-80.577
0.119,0.519,0.009,0.013,28.562,-80.577
0.129,0.647,0.011,0.016,28.562,-80.577
0.139,0.789,0.014,0.019,28.562,-80.577
0.149,0.946,0.016,0.023,28.562,-80.577
0.159,1.118,0.019,0.027,28.562,-80.577
0.169,1.305,0.022,0.032,28.562,-80.577
0.179,1.507,0.025,0.036,28.562,-80.577
0.189,1.724,0.029,0.041,28.562,-80.577
0.199,1.956,0.033,0.047,28.562,-80.577
0.209,2.203,0.037,0.053,28.562,-80.577
0.219,2.465,0.041,0.059,28.562,-80.577
0.229,2.741,0.046,0.065,28.562,-80.577
0.239,3.033,0.05,0.072,28.562,-80.577
0.249,3.34,0.055,0.079,28.562,-80.577
0.259,3.663,0.061,0.087,28.562,-80.577
0.269,4,0.066,0.094,28.562,-80.577
0.279,4.353,0.072,0.103,28.562,-80.577
0.289,4.721,0.078,0.111,28.562,-80.577
0.299,5.104,0.084,0.12,28.562,-80.577
0.309,5.502,0.09,0.129,28.562,-80.577
0.319,5.916,0.097,0.139,28.562,-80.577
0.329,6.345,0.104,0.149,28.562,-80.577
0.344,7.017,0.115,0.164,28.562,-80.577
0.35,7.295,0.12,0.171,28.562,-80.577
0.359,7.724,0.127,0.181,28.562,-80.577
0.372,8.389,0.138,0.197,28.562,-80.577
