Time,Altitude,Position East of launch,Position North of launch
0.000000000,0.000000000,0.000000000,0.000000000
0.010000000,0.000664800,0.000038600,0.000057160
0.020000000,0.006000000,0.000304900,0.000451700
0.032000000,0.028000000,0.001000000,0.002000000
0.042000000,0.064000000,0.003000000,0.004000000
0.052000000,0.118000000,0.005000000,0.007000000
0.062000000,0.190000000,0.008000000,0.011000000
0.072000000,0.278000000,0.011000000,0.017000000
0.082000000,0.382000000,0.015000000,0.023000000
0.092000000,0.502000000,0.020000000,0.029000000
0.102000000,0.638000000,0.025000000,0.037000000
0.110000000,0.757000000,0.030000000,0.044000000
0.120000000,0.919000000,0.036000000,0.053000000
0.130000000,1.096000000,0.043000000,0.063000000
0.140000000,1.287000000,0.050000000,0.074000000
0.150000000,1.492000000,0.058000000,0.086000000
0.161000000,1.734000000,0.067000000,0.099000000
0.171000000,1.969000000,0.076000000,0.113000000
0.181000000,2.218000000,0.086000000,0.127000000
0.191000000,2.480000000,0.096000000,0.142000000
0.201000000,2.757000000,0.106000000,0.157000000
0.211000000,3.047000000,0.117000000,0.174000000
0.221000000,3.351000000,0.129000000,0.191000000
0.231000000,3.668000000,0.141000000,0.209000000
0.241000000,3.999000000,0.153000000,0.227000000
0.251000000,4.343000000,0.166000000,0.247000000
0.261000000,4.701000000,0.180000000,0.267000000
0.267000000,4.922000000,0.188000000,0.279000000
0.276000000,5.263000000,0.201000000,0.298000000
0.286000000,5.654000000,0.216000000,0.320000000
0.296000000,6.058000000,0.231000000,0.343000000
0.311000000,6.689000000,0.256000000,0.379000000
0.333000000,7.691000000,0.295000000,0.437000000
0.351000000,8.516000000,0.328000000,0.486000000
0.372000000,9.559000000,0.371000000,0.549000000
0.393000000,10.679000000,0.417000000,0.618000000
0.416000000,11.926000000,0.469000000,0.694000000
0.442000000,13.427000000,0.530000000,0.785000000
0.478000000,15.700000000,0.621000000,0.921000000
0.512000000,17.919000000,0.706000000,1.046000000
0.562000000,21.471000000,0.828000000,1.228000000
0.581000000,22.880000000,0.871000000,1.292000000
0.596000000,24.070000000,0.904000000,1.343000000
0.610000000,25.175000000,0.934000000,1.387000000
0.624000000,26.255000000,0.960000000,1.427000000
0.637000000,27.366000000,0.986000000,1.466000000
0.652000000,28.557000000,1.012000000,1.505000000
0.667000000,29.845000000,1.037000000,1.545000000
0.682000000,31.136000000,1.061000000,1.581000000
0.700000000,32.756000000,1.088000000,1.624000000
0.724000000,34.887000000,1.121000000,1.675000000
0.759000000,38.194000000,1.166000000,1.746000000
0.809000000,43.087000000,1.226000000,1.844000000
0.831000000,45.314000000,1.254000000,1.887000000
0.854000000,47.668000000,1.282000000,1.933000000
0.875000000,49.933000000,1.310000000,1.978000000
0.890000000,51.556000000,1.330000000,2.010000000
0.904000000,53.029000000,1.349000000,2.040000000
0.918000000,54.648000000,1.370000000,2.073000000
0.936000000,56.615000000,1.395000000,2.113000000
0.961000000,59.453000000,1.431000000,2.170000000
0.998000000,63.826000000,1.483000000,2.254000000
1.019000000,66.423000000,1.510000000,2.299000000
1.034000000,68.288000000,1.528000000,2.328000000
1.048000000,69.972000000,1.543000000,2.353000000
1.061000000,71.615000000,1.556000000,2.375000000
1.074000000,73.297000000,1.569000000,2.396000000
1.088000000,75.066000000,1.580000000,2.417000000
1.103000000,77.087000000,1.592000000,2.438000000
1.124000000,79.788000000,1.606000000,2.464000000
1.155000000,83.917000000,1.625000000,2.499000000
1.177000000,87.018000000,1.639000000,2.525000000
1.189000000,88.671000000,1.646000000,2.539000000
1.200000000,90.134000000,1.653000000,2.552000000
1.210000000,91.549000000,1.660000000,2.565000000
1.220000000,92.984000000,1.667000000,2.578000000
1.231000000,94.601000000,1.676000000,2.594000000
1.246000000,96.652000000,1.687000000,2.614000000
1.267000000,99.765000000,1.703000000,2.643000000
1.299000000,104.517000000,1.725000000,2.685000000
1.318000000,107.390000000,1.736000000,2.707000000
1.330000000,109.250000000,1.742000000,2.720000000
1.342000000,111.060000000,1.746000000,2.731000000
1.355000000,113.050000000,1.750000000,2.742000000
1.369000000,115.222000000,1.752000000,2.752000000
1.384000000,117.664000000,1.754000000,2.762000000
1.405000000,120.982000000,1.756000000,2.772000000
1.437000000,126.024000000,1.759000000,2.785000000
1.451000000,128.397000000,1.761000000,2.791000000
1.461000000,129.973000000,1.763000000,2.794000000
1.475000000,132.189000000,1.766000000,2.800000000
1.489000000,134.621000000,1.770000000,2.806000000
1.504000000,137.147000000,1.774000000,2.813000000
1.523000000,140.254000000,1.780000000,2.822000000
1.551000000,144.953000000,1.788000000,2.835000000
1.571000000,148.322000000,1.791000000,2.843000000
1.587000000,151.007000000,1.792000000,2.848000000
1.603000000,153.778000000,1.792000000,2.852000000
1.620000000,156.752000000,1.791000000,2.854000000
1.623000000,157.249000000,1.790000000,2.854000000
1.627000000,157.996000000,1.790000000,2.855000000
1.634000000,159.117000000,1.789000000,2.855000000
1.644000000,160.802000000,1.788000000,2.855000000
1.658000000,163.337000000,1.786000000,2.855000000
1.680000000,167.155000000,1.783000000,2.853000000
1.701000000,170.777000000,1.781000000,2.852000000
1.720000000,174.213000000,1.781000000,2.850000000
1.742000000,178.058000000,1.781000000,2.850000000
