Time,Altitude,Position East of launch,Position North of launch
0.000000000,0.000000000,0.000000000,0.000000000
0.010000000,0.000665400,0.000038620,0.000057190
0.020000000,0.006000000,0.000305100,0.000452000
0.032000000,0.028000000,0.001000000,0.002000000
0.042000000,0.064000000,0.003000000,0.004000000
0.052000000,0.119000000,0.005000000,0.007000000
0.062000000,0.190000000,0.008000000,0.011000000
0.072000000,0.278000000,0.011000000,0.017000000
0.082000000,0.382000000,0.015000000,0.023000000
0.092000000,0.502000000,0.020000000,0.029000000
0.102000000,0.638000000,0.025000000,0.037000000
0.110000000,0.757000000,0.030000000,0.044000000
0.120000000,0.920000000,0.036000000,0.053000000
0.130000000,1.097000000,0.043000000,0.063000000
0.140000000,1.288000000,0.050000000,0.074000000
0.150000000,1.493000000,0.058000000,0.086000000
0.161000000,1.735000000,0.067000000,0.099000000
0.171000000,1.970000000,0.076000000,0.113000000
0.181000000,2.219000000,0.086000000,0.127000000
0.191000000,2.482000000,0.096000000,0.142000000
0.201000000,2.759000000,0.106000000,0.157000000
0.211000000,3.049000000,0.117000000,0.174000000
0.221000000,3.353000000,0.129000000,0.191000000
0.231000000,3.670000000,0.141000000,0.209000000
0.241000000,4.001000000,0.153000000,0.227000000
0.251000000,4.346000000,0.166000000,0.247000000
0.261000000,4.704000000,0.180000000,0.267000000
0.267000000,4.925000000,0.188000000,0.279000000
0.276000000,5.266000000,0.201000000,0.299000000
0.286000000,5.657000000,0.216000000,0.321000000
0.296000000,6.062000000,0.232000000,0.343000000
0.311000000,6.693000000,0.256000000,0.379000000
0.333000000,7.696000000,0.295000000,0.438000000
0.351000000,8.522000000,0.328000000,0.487000000
0.373000000,9.593000000,0.372000000,0.551000000
0.394000000,10.744000000,0.420000000,0.622000000
0.418000000,12.027000000,0.473000000,0.700000000
0.444000000,13.577000000,0.537000000,0.795000000
0.482000000,15.959000000,0.632000000,0.936000000
0.512000000,17.931000000,0.707000000,1.048000000
0.556000000,21.080000000,0.817000000,1.212000000
0.578000000,22.692000000,0.868000000,1.287000000
0.595000000,23.964000000,0.905000000,1.343000000
0.610000000,25.125000000,0.936000000,1.390000000
0.624000000,26.248000000,0.964000000,1.433000000
0.638000000,27.395000000,0.991000000,1.474000000
0.652000000,28.619000000,1.018000000,1.515000000
0.668000000,29.934000000,1.045000000,1.556000000
0.682000000,31.156000000,1.068000000,1.591000000
0.700000000,32.761000000,1.095000000,1.634000000
0.723000000,34.803000000,1.127000000,1.684000000
0.757000000,37.967000000,1.171000000,1.754000000
0.807000000,42.850000000,1.233000000,1.852000000
0.831000000,45.357000000,1.263000000,1.901000000
0.856000000,47.920000000,1.294000000,1.951000000
0.877000000,50.143000000,1.321000000,1.994000000
0.892000000,51.742000000,1.341000000,2.026000000
0.905000000,53.185000000,1.360000000,2.056000000
0.919000000,54.771000000,1.380000000,2.088000000
0.936000000,56.638000000,1.404000000,2.126000000
0.957000000,59.133000000,1.436000000,2.177000000
0.990000000,62.967000000,1.484000000,2.253000000
1.024000000,67.063000000,1.529000000,2.326000000
1.040000000,68.995000000,1.548000000,2.357000000
1.053000000,70.722000000,1.563000000,2.383000000
1.067000000,72.392000000,1.577000000,2.406000000
1.080000000,74.075000000,1.589000000,2.427000000
1.093000000,75.830000000,1.601000000,2.448000000
1.109000000,77.833000000,1.613000000,2.469000000
1.129000000,80.451000000,1.627000000,2.494000000
1.158000000,84.452000000,1.645000000,2.529000000
1.182000000,87.749000000,1.660000000,2.557000000
1.194000000,89.448000000,1.668000000,2.572000000
1.205000000,90.958000000,1.675000000,2.585000000
1.216000000,92.420000000,1.683000000,2.599000000
1.226000000,93.939000000,1.691000000,2.613000000
1.239000000,95.705000000,1.700000000,2.630000000
1.254000000,97.996000000,1.712000000,2.653000000
1.278000000,101.478000000,1.731000000,2.686000000
1.314000000,106.805000000,1.755000000,2.732000000
1.318000000,107.459000000,1.757000000,2.737000000
1.324000000,108.444000000,1.761000000,2.745000000
1.334000000,109.929000000,1.765000000,2.755000000
1.347000000,111.921000000,1.770000000,2.768000000
1.361000000,114.085000000,1.774000000,2.780000000
1.375000000,116.234000000,1.777000000,2.791000000
1.390000000,118.609000000,1.780000000,2.801000000
1.409000000,121.707000000,1.782000000,2.811000000
1.439000000,126.409000000,1.786000000,2.824000000
1.455000000,129.136000000,1.789000000,2.831000000
1.461000000,130.057000000,1.790000000,2.833000000
1.469000000,131.443000000,1.792000000,2.837000000
1.482000000,133.531000000,1.795000000,2.842000000
1.497000000,135.944000000,1.799000000,2.849000000
1.512000000,138.432000000,1.804000000,2.856000000
1.530000000,141.438000000,1.810000000,2.866000000
1.557000000,145.981000000,1.818000000,2.879000000
1.579000000,149.785000000,1.822000000,2.889000000
1.596000000,152.727000000,1.824000000,2.895000000
1.614000000,155.829000000,1.824000000,2.900000000
1.623000000,157.351000000,1.824000000,2.902000000
1.636000000,159.639000000,1.823000000,2.903000000
1.656000000,163.085000000,1.821000000,2.904000000
1.686000000,168.284000000,1.818000000,2.903000000
1.709000000,172.413000000,1.817000000,2.902000000
1.731000000,176.207000000,1.817000000,2.902000000
1.752000000,180.010000000,1.818000000,2.902000000
1.779000000,184.765000000,1.818000000,2.903000000
1.819000000,191.933000000,1.817000000,2.903000000
1.846000000,196.739000000,1.813000000,2.901000000
1.871000000,201.162000000,1.809000000,2.897000000
1.901000000,206.688000000,1.802000000,2.890000000
